Dataset,Weight Init,Normalization,Optimizer,Test Error,Accuracy,,,,,,,,,,
ionosphere_train,Default,min_max,Adam,8.98204,91.018,,,,,,,,,,
ionosphere_train,Default,min_max,PSO,35.7955,64.2045,,,,,,,,,,
ionosphere_train,Default,standardization,Adam,10.119,89.881,,,,,,,,,,
ionosphere_train,Default,standardization,PSO,21.4286,78.5714,,,,,,,,,,
Concrete_Data_train,Default,min_max,Adam,3.05378,94.9462,,,,,,,,,,
Concrete_Data_train,Default,min_max,PSO,3.6645,94.3355,,,,,,,,,,
Concrete_Data_train,Default,min_max,Adam,4.25912,95.7409,,,,,,,,,,
Concrete_Data_train,Default,min_max,PSO,4.00277,95.9972,,,,,,,,,,
forestfires_train,Default,min_max,Adam,1.15336,98.8466,,,,,,,,,,
forestfires_train,Default,min_max,Adam,1.43535,98.5646,,,,,,,,,,
forestfires_train,SMALLVALUES,min_max,PSO,1.23149,98.7685,,,,,,,,,,
forestfires_train,SMALLVALUES,min_max,PSO,1.16935,98.8307,,,,,,,,,,
RosenBrock_dim7_dt_train,Default,min_max,PSO,3.26317,96.7368,,,,,,,,,,
RosenBrock_dim7_dt_train,Default,standardization,PSO,127.334,-27.334,,,,,,,,,,
RosenBrock_dim7_dt_train,Default,min_max,PSO,20.5871,79.4129,,,,,,,,,,
RosenBrock_dim7_dt_train,Default,min_max,PSO,12.44,87.56,,,,,,,,,,
RosenBrock_dim7_dt_train,Default,standardization,PSO,515.604,-415.604,,,,,,,,,,
RosenBrock_dim7_dt_train,Default,min_max,PSO,4.27182,95.7282,,,,,,,,,,
forestfires_train,SMALLVALUES,min_max,PSO,3.80876,96.1912,,,,,,,,,,
forestfires_train,SMALLVALUES,min_max,Adam,1.28231,98.7177,,,,,,,,,,
,,,,,,,,,,,,,,,
ionosphere_train,SMALLVALUES,min_max,PSO,63.981,36.019Bohachvsky_train,Default,min_max,PSO,37.0028,62.9972Bohachvsky_train,SMALL VALUES,min_max,PSO,0.141753,99.8582
RosenBrock_dim6_dt_train,SMALL VALUES,min_max,PSO,4.36329,95.6367,,,,,,,,,,
Bohachvsky_train,SMALL VALUES,min_max,PSO,0.234409,99.7656,,,,,,,,,,
Hartman_3_train,SMALL VALUES,min_max,PSO,0.0579256,99.9421,,,,,,,,,,
RosenBrock_dim6_dt_train,SMALL VALUES,min_max,PSO,3.7051,96.2949,,,,,,,,,,
RosenBrock_dim6_dt_train,SMALL VALUES,min_max,PSO,4.06954,95.9305,,,,,,,,,,
