Dataset,Weight Init,Normalization,Optimizer,Test Error,Accuracy,,,,,,,,,,
x^2_dt_train,Default,min_max,Adam,0.00639729,99.9936,,,,,,,,,,
x^2_dt_train,Default,min_max,PSO,0.00592996,99.9941,,,,,,,,,,
x^2_dt_train,Default,standardization,Adam,0.42256,99.5774,,,,,,,,,,
x^2_dt_train,Default,standardization,PSO,0.43883,99.5612,,,,,,,,,,
ionosphere_train,Default,min_max,Adam,11.8343,88.1657,,,,,,,,,,
ionosphere_train,Default,min_max,PSO,13.6095,86.3905,,,,,,,,,,
ionosphere_train,Default,standardization,Adam,14.3678,85.6322,,,,,,,,,,
ionosphere_train,Default,standardization,PSO,16.6667,83.3333,,,,,,,,,,
forestfires_train,Default,min_max,Adam,5.60156,94.3984,,,,,,,,,,
forestfires_train,Default,min_max,PSO,1.21627,98.7837,,,,,,,,,,
RosenBrock_dim6_dt_train,Default,min_max,Adam,5.58987,94.4101,,,,,,,,,,
RosenBrock_dim6_dt_train,Default,min_max,PSO,15.3736,84.6264,,,,,,,,,,
RosenBrock_dim6_dt_train,Default,standardization,Adam,36.0255,63.9745,,,,,,,,,,
RosenBrock_dim6_dt_train,Default,standardization,PSO,310.283,-210.283,,,,,,,,,,
forestfires_train,Default,min_max,Adam,2.96185,97.0381,,,,,,,,,,
forestfires_train,Default,min_max,PSO,3.40135,96.5987,,,,,,,,,,
forestfires_train,Default,standardization,Adam,881.09,-781.09,,,,,,,,,,
forestfires_train,Default,standardization,PSO,6389,-6289,,,,,,,,,,
RosenBrock_dim6_dt_train,Default,min_max,Adam,2.59646,97.4035,,,,,,,,,,
RosenBrock_dim6_dt_train,Default,min_max,PSO,3.65765,96.3423,,,,,,,,,,
RosenBrock_dim6_dt_train,Default,standardization,Adam,57.3345,42.6655,,,,,,,,,,
RosenBrock_dim6_dt_train,Default,standardization,PSO,292.164,-192.164,,,,,,,,,,
Concrete_Data_train,Default,min_max,Adam,3.02338,96.9766,,,,,,,,,,
Concrete_Data_train,Default,min_max,Adam,5.9734,94.0266,,,,,,,,,,
Concrete_Data_train,Default,min_max,PSO,4.45649,95.5435,,,,,,,,,,
Concrete_Data_train,Default,standardization,Adam,63.0184,36.9816,,,,,,,,,,
Concrete_Data_train,Default,standardization,PSO,82.2435,17.7565,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,Adam,26.7221,73.2779ionosphere_train,Default,min_max,Adam,70.7003,29.2997
